SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523838,SIMPLX INFRA,B ,Q,107.95,115.50,107.90,109.95,109.50,110.00,43,593,65608.00,
523840,INN.TECH.PAC,X ,Q,16.65,18.70,16.65,17.25,17.25,18.00,12,621,10583.00,
523842,SUPER TANNER,X ,Q,2.33,2.33,2.26,2.32,2.26,2.22,5,484,1125.00,
523844,INVICTA MED ,XT,Q,4.29,4.29,4.11,4.11,4.11,4.09,2,10540,43344.00,
523850,AXTEL INDUS.,X ,Q,120.35,122.00,118.00,122.00,122.00,120.35,21,3076,373820.00,
524000,MAGMA FIN   ,A ,Q,116.20,118.25,116.20,116.95,116.75,116.20,198,11797,1385373.00,
524013,HIND.FLUROCA,B ,Q,10.44,10.44,10.44,10.44,10.44,10.10,3,50,522.00,
524019,KINGFA      ,B ,Q,612.00,622.00,606.90,619.00,619.00,604.50,15,469,290007.00,
524037,RAMA PHOSPH ,X ,Q,66.45,69.00,66.45,68.60,68.60,67.30,28,2051,139956.00,
524038,VENLON ENTR ,XT,Q,3.34,3.34,3.34,3.34,3.34,3.51,1,100,334.00,
524051,POLYPLEX    ,B ,Q,500.10,502.25,496.90,500.05,498.30,496.10,129,2970,1485874.00,
524075,ALBERT DAVID,B ,Q,383.00,390.00,382.00,382.00,382.00,384.25,24,247,94660.00,
524084,MONSANTO (I),A ,Q,2207.65,2244.00,2194.00,2208.30,2197.05,2263.65,55,142,315926.00,
524091,ACRYCIL LTD.,X ,Q,94.50,98.40,92.50,95.60,95.00,94.10,60,4629,437765.00,
524109,KABRA EXTR  ,B ,Q,82.05,82.05,78.25,78.25,78.25,79.10,71,2492,202169.00,
